0611223344,0620406080,HI NOUHAILA
0620406080,0611223344,SLT ISMAIL
0611223344,0620406080,CV BIEN
0620406080,0611223344,CV TOI
0611223344,0610203040,HI SOUFAIN
0611223344,0605101520,HI CHAIMAE CV
0610203040,0611223344,HI ISMAIL CV BKHER
0620406080,0611223344,CV BKHR ELIK
0611223344,0620406080,OUI CV TRANQUILLE
0611223344,0610203040,FYN KIF TINA CV 
0610203040,0611223344,CV BIEN HMD KIF MAXI MEA DERASA
0611223344,0610203040,GOOD
0611223344,0605101520,SLT CHAIMAE
0605101520,0611223344,OUI CV SUPER TOI 
0620406080,0611223344,HI ISMAIL
0611223344,0620406080,HI CV
0690807060,0611223344,Bonjour Ismail 
0611223344,0690807060,Bonjour Mohsen 
0611223344,0690807060,ca va 
0690807060,0611223344,oui cv super et toi 
0611223344,0690807060,bien merci frero
0611223344,0605101520,BONJOUR 
0605101520,0611223344,SALUT ISMAIL CV
0611223344,0605101520,OUI CV BIEN SUPER 
0611223344,0605101520,TOI CV BIEN 
0611223344,0620406080,BONJOUR 
0620406080,0611223344,CV 
0611223344,0620406080,OUI CV BIEN ET TOI
0611223344,0620406080,TU ES CV 
0611223344,0620406080,HI
0620406080,0611223344,CV 
0611223344,0620406080,OUI CV BIEN 
0611223344,0605101520,HI CV 
0611223344,0605101520,SLT
0605101520,0611223344,HY CV 
0611223344,0605101520,OUI CV BIEN 
0611223344,0605101520,KIF TINA CV KIF MACHA MEA DERASA
